	Ref	NOX	ATPase
b2910	11.37946004	10.71530576	10.91999478
b2911	14.19396778	13.76669258	12.74369228
b2912	8.152115887	8.42451089	8.285200859
b2913	13.15581706	13.05194923	13.1679286
b2914	11.37278681	10.9843053	11.05169036
b2915	4.855296241	5.775378893	5.067138337
b2916	11.05638591	11.0829279	11.09981308
b2918	5.569744427	7.66713884	7.963514051
b2919	5.503671153	7.950646783	6.983840324
b2920	7.69652652	9.483104051	9.27718436
b2922	11.12108411	9.822256873	10.51659025
b2923	10.74457084	10.89817875	10.76230013
b2924	13.113879	12.27312198	12.8443909
b2925	12.34635422	12.25251611	12.4908024
b2926	12.24180589	11.98135923	12.3768455
b2927	12.41138654	11.90249078	12.28555379
b2928	9.611435533	9.508190555	9.729601432
b2929	9.120748987	8.977170383	9.083858268
b2930	7.178513298	8.253170869	8.025228178
b2931	8.535028657	8.700506409	8.634113832
b2932	7.090212446	8.743862918	7.883820526
b2933	7.612036838	9.475359431	8.538132233
b2934	6.797786901	7.440167849	7.390925077
b2935	13.08820107	13.2813437	13.09742929
b2936	9.832944465	9.269254067	9.488095873
b2937	2.359480976	2.225937897	2.334830044
b2938	11.53863166	11.23855577	11.25542187
b2939	11.00862113	10.53856176	10.35455363
b2940	9.119261049	10.39235353	9.919636248
b2941	2.613748826	2.678198242	3.2916803
b2942	12.72475782	12.64992614	12.92562817
b2943	9.167651289	9.336620907	9.57214563
b2944	3.677900157	4.847163566	5.339030315
b2945	7.417835381	8.600576157	7.996311157
b2946	10.28542792	10.21739921	10.4184278
b2947	11.0900946	11.1874272	11.34416972
b2949	10.85179924	10.97745666	11.15338567
b2950	7.993344441	9.763941132	8.997198406
b2951	8.126148952	8.004495081	8.167183971
b2952	11.07076951	11.06482204	10.97854769
b2953	11.89581108	11.89263502	12.00169746
b2954	9.554096306	9.088373031	9.092524301
b2955	11.00652126	11.37092032	11.23428601
b2956	8.732638704	9.580199645	8.931103705
b2957	8.246006354	9.331591132	8.936957995
b2958	10.7638384	10.35180984	10.43204859
