,REF,NOX,ATP
b4356,1.8231587179690851,0.87475569988054114,2.2101464108039854
b2421,0.88016796784736606,0.50869312082104912,0.68511544237612809
b2202,0.69022549000612143,0.41878076921824026,0.5978232907332498
b1238,0.073968938929557582,0.13278853326846635,0.40768815537638042
b4194,0.76163982065250302,0.53360384657251136,0.83912780489933947
b4073,0.96357353047332595,0.3921117461087722,1.1503807734596405
b4069,0.17617634110145233,0.58490347827211231,0.19441617614952247
b0340,1.5540989838488957,1.0922741584249611,1.8404080461525327
b4288,1.3122936511044108,0.75806811358329385,1.8747393366040401
b3894,0.49130044262883044,0.64114287959454475,0.48237418704730572
b0635,0.013937548174403935,0.23722333948892219,0.024062062144612283
b3265,1.5894643533895061,0.72142825187700044,1.5500441693603104
b0323,1.6528795895543984,0.51592226485115644,1.741457857446933
b0243,0.23928464704937494,0.39316011333130801,0.084404947300273009
b2747,0.1379911808817309,0.04924091021065774,0.034268196959016929
b3940,0.15484427943794724,0.21913458194894531,0.13120621774097002
b2585,0.53119019814500257,0.41872794734407004,0.36177941483121207
b0099,0.58207054073323172,0.45436557974895225,1.0876996339167231
b2032,0.31928017911105294,0.71900089444329662,1.0117056288025192
b2323,0.51477333883187881,0.24637153344493731,0.31861353276699983
b1232,0.55977719535286075,0.41266166024697382,0.45427783071837002
b4086,1.4146897650931838,1.0925597328598058,1.6306526519110687
b2436,0.33331617673412228,0.55460707171030732,0.54183168476806942
b1748,0.45898551988573327,0.58534395046751919,1.3843035733925821
b1873,1.3362837802292442,0.486213845018377,1.2084064173225619
b1377,2.2142333610508556,0.94573823522309863,2.4081080645368993
b2937,0.1241120156625776,0.033141875751530998,0.12066234719651459
b3429,0.46167404644008697,0.50412475853362804,0.0527372677213876
b0698,1.7846187544443823,0.84675698821427969,1.843891439234115
b1468,1.357130333515302,1.3956617250958041,1.3905421321687979
b1746,0.95466765461737069,0.60154263433289845,2.6514830073245133
b2393,0.1241120156625776,0.033141875751530998,0.12754191941873552
b2935,0.095815857548292402,0.12704574395603713,0.10487591403883804
b2750,0.79967223178206559,0.60111938376714569,0.58975203116531461
b1623,0.56112370940725409,0.30153332929504945,0.76928988464015358
b3018,0.17304495778272619,0.099362498022359927,0.30715120762648979
b0933,0.90439445869547508,0.64921328403588296,1.7757399875695472
b2411,0.12179912471580702,0.11221979202598599,0.13661071676313241
b3939,0.32758737646953867,0.42178367039477993,0.088153813528325506
