,O2_0.0,O2_0.5,O2_1.0,O2_2.8,O2_20.9
YPL068C,7.339324479,7.048010814,7.160562809,7.039344708,7.091397057
YPL069C,6.679198944,6.179088663,6.427379704,6.513697759,6.212953696
YPL070W,8.016534349,7.563761762,7.442785511,7.538691557,7.772339506
YPL071C,8.173488983,7.68338294,7.557178092,7.624577076,7.34777753
YPL072W,7.721882731,7.653868665,7.496424729,7.459044971,7.171050321
YPL074W,7.081990787,7.195880933,7.350973489,7.426477596,7.209078227
YPL075W,8.891376821,8.613103183,8.651657571,8.411740622,8.554717139
YPL076W,6.396053546,5.967038278,5.994194329,6.174630262,6.522663923
YPL077C,6.550367011,6.3468751,6.213514812,6.406102117,6.187694472
YPL078C,12.20181405,12.66988652,12.696444,12.65853219,12.31914575
YPL079W,12.91273296,12.45506447,12.59250583,12.72156511,12.59819384
YPL081W,10.72023159,10.25780238,10.54495386,10.52647781,9.768420685
YPL082C,9.857833629,9.910359994,9.731808548,9.676565909,9.669127027
YPL083C,7.052918098,7.056665587,7.201227331,7.460269107,7.181773463
YPL084W,8.339527683,8.418304775,8.382832169,8.41559893,8.78937601
YPL085W,9.44403547,9.684276151,9.156173054,9.086444814,9.405748002
YPL086C,8.932284684,8.784691667,8.711942303,8.724990593,8.098955987
YPL087W,9.954719638,9.850891695,9.945584939,9.786061916,9.176002551
YPL088W,8.02847791,7.535697428,7.620010641,7.409572307,7.536719891
YPL089C,8.590463039,8.82360376,8.776665763,8.739793456,9.181871378
YPL091W,10.65159684,10.68614041,10.69994043,10.60214102,10.4715282
YPL092W,10.18916422,9.926315492,9.899723898,9.782514673,11.23268341
YPL093W,9.956749656,9.726703849,9.860621876,10.03988804,9.281423893
YPL094C,9.95388826,9.688889942,9.690519665,9.747473249,9.680882456
YPL095C,11.27688948,10.70138166,9.724041406,7.880742934,7.954552374
YPL096C-A,9.225716381,8.906602328,8.827607094,8.747024131,8.855917336
YPL096W,8.650744721,8.667252141,8.718279863,8.714136783,9.006017175
YPL097W,8.32354009,8.522612796,8.541208483,8.390699655,8.103393126
YPL098C,10.88010749,11.043406,11.0630603,11.10540288,10.64047819
YPL099C,8.084316232,8.245478804,8.475096489,8.77629911,8.874552462
YPL100W,8.415453485,8.397977903,8.488639156,8.555015524,8.71848598
YPL101W,9.323065213,9.138532213,9.052337147,9.120475022,8.823292862
YPL103C,8.464191901,8.066957417,8.085022739,8.010107825,7.103956889
YPL104W,8.934609349,9.078748853,8.976962647,8.794030241,8.418841346
YPL105C,9.625317913,9.573069593,9.477637125,9.446038806,9.379793805
YPL106C,11.86893337,11.95965865,11.9490133,11.94376703,12.44971258
YPL107W,6.956387731,7.775365033,7.929222945,8.083771766,8.362568951
YPL108W,6.264249837,6.478016371,6.353773328,6.665041089,6.274480636
YPL109C,7.99030984,8.770125288,8.711295615,8.989123831,9.1208331
YPL110C,7.90215974,7.993478333,7.920134535,7.909607507,8.339417378
YPL111W,8.390986531,9.280231179,9.292160257,9.127711598,9.093836932
YPL112C,9.559467284,9.467678933,9.625643325,9.705469499,9.42960788
YPL113C,8.520665911,9.116040046,9.072363616,9.378747438,10.13895715
YPL115C,9.212858635,8.816802742,8.787021443,8.747614369,8.574139062
YPL116W,8.728815221,8.997266397,8.924081255,8.728481499,8.91264167
YPL117C,10.232264,10.94908518,10.99809766,10.93405002,11.00737068
YPL118W,10.29951336,10.38470604,10.3300903,10.13954641,9.909457959
YPL119C,7.346570037,7.259323514,7.409779146,7.2528265,8.177066829
YPL119C-A,6.943315987,6.988336879,6.904841396,6.831287459,7.819819007
YPL120W,8.066271595,8.079514644,7.997089923,8.061868313,8.517602901
YPL121C,3.926485897,3.950827846,3.963743674,3.96198366,4.059972056
YPL122C,8.422951573,8.38789157,8.555152768,8.646466258,8.602445174
YPL123C,7.108900404,7.732144895,7.885277784,7.69138604,9.063826893
YPL124W,7.156233556,6.83174581,6.871385013,6.980076811,6.955059337
YPL125W,9.54881889,9.475937007,9.462335868,9.422946774,9.471542806
YPL126W,8.556810892,8.069558962,8.144798256,8.490802946,7.597198484
YPL127C,10.45840032,10.58393361,10.64117438,10.57617744,10.56727351
YPL128C,7.873377211,7.902984548,8.064865581,7.951184479,7.630946412
YPL129W,9.172430695,9.112028708,9.114496416,9.337594904,9.094642805
YPL130W,4.161199406,4.059472018,4.131296024,4.044469085,4.51008488
YPL131W,13.13532331,13.06083814,13.12269574,13.25827513,12.89157894
YPL132W,7.732924733,7.868947356,7.91747042,7.773296773,7.348989159
YPL133C,7.665950744,7.875180065,7.510764517,7.719565965,7.610888745
YPL134C,10.28315082,11.15917967,11.17173686,11.11004678,10.49220594
YPL135W,10.82410609,10.80800147,11.1510094,11.35833483,12.03699279
YPL137C,9.198892534,9.039473998,9.064169262,8.743722272,8.700890882
YPL138C,8.18310466,7.845836758,7.75313691,7.83026433,8.004364564
YPL139C,7.962920196,8.077685119,8.229875197,8.362302577,8.277225034
YPL140C,8.020146681,8.031255877,7.986288823,7.827099496,7.906358942
YPL141C,8.053919977,8.710407911,8.71829605,8.560100221,8.409102788
YPL143W,12.64404656,12.29234358,12.40290757,12.52145842,12.19083863
YPL144W,9.460414223,8.647969837,8.677619969,8.804774762,8.252418365
YPL145C,10.28002225,9.926344167,10.08576925,10.01816658,9.843574978
YPL146C,7.772598928,7.834946381,7.618787717,7.865789596,7.648460774
YPL147W,7.455578563,8.344542174,8.489100872,9.749594284,11.17280723
YPL148C,7.817579549,7.856324059,8.047467507,8.201478751,7.751852449
YPL149W,8.625753719,8.433997603,8.366812276,8.479925027,8.26896182
YPL150W,8.171529575,8.248551239,8.234350038,8.297104439,8.032203907
YPL151C,7.929651602,8.122808061,7.83790185,7.859354553,8.00875693
YPL152W,7.818370833,7.810506971,7.872850694,7.883121424,8.219696864
YPL152W-A,4.829227168,4.70548406,4.747664548,4.760048899,5.062108323
YPL153C,6.918665887,6.663080032,6.523750571,6.569433373,6.668129207
YPL154C,12.39585823,12.48486023,12.4740647,12.25491833,12.58080615
YPL155C,7.814181122,7.430136256,7.414865484,7.471065579,6.858827175
YPL156C,9.063888717,8.930385155,9.226567357,9.907003668,10.54999103
YPL157W,6.706354373,6.672302704,6.781693037,6.957794946,6.870296415
YPL158C,10.05234207,9.966155283,10.09895166,9.961921613,10.03474668
YPL159C,8.889227,8.761843835,8.68540164,8.768147345,9.257746379
YPL160W,10.56947441,10.13577239,10.23574723,10.40458122,9.938036258
YPL161C,7.73655356,7.306553864,7.337171084,7.486040499,7.3533396
YPL162C,6.953457165,6.640435548,6.772177131,6.911680302,6.992637286
YPL163C,10.00183372,10.63275857,10.61948354,10.58144517,10.24216106
YPL164C,7.747773839,7.994500002,7.821331238,7.615446752,8.181751658
YPL165C,4.196633722,4.170495662,4.197908448,4.149693134,4.28970743
YPL166W,5.279533794,5.121726638,5.247382168,5.163205397,5.649619077
YPL167C,6.94903662,7.034732941,6.689475389,6.585427904,7.174537172
YPL168W,7.092236658,7.287984997,7.226155939,7.171975853,7.426451357
YPL169C,9.592683459,9.417118472,9.264042154,9.28366726,9.317306706
YPL170W,11.11711303,10.29244128,10.08780631,9.60675239,10.58937069
YPL171C,8.59744712,9.799828687,9.065938656,7.461670792,8.817672467
YPL172C,8.867791585,8.669623411,8.708154952,8.451106966,7.915246842
YPL173W,9.479163324,9.405199701,9.548110202,9.343664468,9.020969415
YPL174C,5.698612344,5.971950271,5.636380744,5.76068195,5.850240287
YPL175W,6.638123177,6.612249775,6.427264603,6.599040835,6.372437333
YPL176C,8.674462968,8.899799809,8.791428962,8.759613309,8.627688835
YPL177C,8.997261727,10.26262329,10.2549623,10.23914224,10.37039039
YPL178W,9.661003213,9.488814037,9.537354639,9.711370543,9.563563085
YPL179W,9.667707646,9.774149959,9.956476076,9.593234476,9.477841904
YPL180W,8.724003971,8.711854035,8.594549079,8.694743422,8.74525713
YPL181W,9.249606354,9.972210716,9.88608266,9.859259675,9.399018144
YPL183C,8.47981741,8.253986045,8.428512214,8.529836195,7.612753782
YPL183W-A,9.887341397,9.987067586,10.08450321,9.947803781,9.553265838
YPL184C,8.290499435,8.465729,8.406517955,8.434876243,8.354181319
YPL186C,8.019226277,9.624213243,9.646740625,9.388086617,11.10053012
YPL187W,12.09206244,13.94661503,13.91975898,13.92827729,13.30781137
YPL188W,8.347782652,9.045591464,9.349676369,9.307356724,9.812023401
YPL189C-A,6.465325235,9.369345238,9.528806437,9.49339984,9.021320402
YPL189W,5.578434078,5.186471525,5.104564038,5.064951169,5.087751155
YPL190C,8.624183367,8.629825316,8.721970171,8.653898039,9.021918024
YPL191C,6.901928061,6.428082012,6.628741608,6.541026637,6.815630315
YPL192C,5.639234904,5.958050096,6.111186114,6.142245626,5.917612581
YPL193W,6.802716253,6.954686383,6.897884242,7.266601837,7.591597882
YPL194W,6.256231631,6.610698043,6.670804347,6.485731182,6.58113122
YPL195W,9.809972723,9.802288194,9.629564539,9.747309016,9.845462906
YPL196W,9.107550572,8.91460531,8.866600585,8.861309645,9.299757648
YPL199C,8.957062909,8.63692265,8.630957822,8.981395231,8.472375345
YPL200W,4.403516457,5.511397335,5.593927666,6.278915001,5.951515152
YPL201C,7.79739585,10.14012162,10.33953473,10.86322413,11.21423224
YPL202C,5.936578989,5.710620339,5.645435698,5.887995257,6.198528976
YPL203W,9.752230821,9.684335376,9.744648964,9.513484622,10.37642899
YPL204W,10.56163504,10.69655241,10.54651525,10.46374202,10.37405125
YPL206C,10.77801444,10.7551347,10.76196066,10.53429532,10.4129417
YPL207W,8.581023524,9.276336007,9.281199922,9.326569074,8.988582242
YPL208W,8.06905146,7.635740729,7.580216628,7.726950036,7.369750953
YPL209C,5.981253717,5.771361008,5.726704221,5.780312242,5.948296791
YPL210C,9.373487451,9.187079058,9.190043106,9.205531681,9.332989806
YPL211W,10.07498001,9.63848963,9.700708848,9.931406533,8.91277064
YPL212C,8.470981586,8.074203737,8.097014783,8.146402641,8.067528752
YPL213W,8.525308354,8.574030043,8.730039641,8.795592979,8.106742071
YPL214C,8.828691897,8.900078648,8.856116185,8.738076315,8.77600982
YPL215W,9.455533396,9.358989998,9.370768658,9.279768937,8.722547962
YPL216W,5.618418684,5.655107529,5.562987555,5.68085013,5.721213919
YPL217C,9.221424236,8.997551711,9.101598144,9.275536111,8.774111914
YPL218W,11.61882189,10.99686988,11.07012356,11.07318686,10.51572648
YPL219W,8.102025739,8.078530339,8.23601792,8.19283584,8.412518489
YPL221W,10.38590788,10.05019913,9.830390838,10.0250849,9.556723642
YPL222W,6.832595001,8.797133051,8.67537047,8.365684802,10.01745309
YPL223C,8.008461634,8.919755972,7.949099658,7.133950652,13.58275869
