,O2_0.0,O2_0.5,O2_1.0,O2_2.8,O2_20.9
YBR040W,0.312525655,0.099364461,0.133988414,0.056223929,0.151787455
YBR041W,0.065456819,0.064720236,0.060366893,0.151944428,0.237603347
YBR042C,0.097942883,0.126460727,0.086797222,0.099541213,0.074050772
YBR043C,0.088851084,0.098441708,0.079925324,0.123309106,0.222129734
YBR044C,0.060839821,0.077790959,0.11639143,0.080024598,0.211933698
YBR045C,0.103182271,0.173025361,0.076499557,0.211379128,0.532727912
YBR046C,0.085974413,0.213875192,0.148143448,0.372739048,0.617848838
YBR047W,0.186419167,0.182788875,0.194132335,0.304385322,0.693851677
YBR048W,0.098841164,0.179045768,0.131289035,0.241139366,0.152117605
YBR049C,0.173253345,0.140919664,0.05583438,0.12584561,0.105643613
YBR050C,0.253499292,0.256785303,0.108182131,0.225583446,0.392416963
YBR052C,0.106120453,0.241911483,0.107729246,0.210272393,0.328491979
YBR053C,0.120521877,0.220178238,0.058432769,0.388276344,0.364170955
YBR054W,0.211106643,0.327005303,0.336877864,0.761404228,0.512221242
YBR055C,0.120870981,0.18140191,0.098392082,0.18358899,0.040378888
YBR056W,0.16293758,0.251516961,0.138542247,0.390263571,0.344903245
YBR056W-A,0.16982997,0.230723279,0.112953846,0.085279688,0.559390778
YBR057C,0.216245403,0.171083112,0.028037343,0.109923131,0.208484416
YBR058C,0.060549046,0.062083851,0.067372656,0.077624214,0.070481992
YBR058C-A,0.195478959,0.119094685,0.146556552,0.216581553,0.314995801
YBR059C,0.1167234,0.220836873,0.129358891,0.168860078,0.042625036
YBR060C,0.108880747,0.091079702,0.052649746,0.141880192,0.173778295
YBR061C,0.062536566,0.208973331,0.070267483,0.35176183,0.27863386
YBR062C,0.119445301,0.089936691,0.063794204,0.235835165,0.199700009
YBR063C,0.216553124,0.130791021,0.10721331,0.178723554,0.088269518
YBR065C,0.321775166,0.088992237,0.127822273,0.24007611,0.204979493
YBR066C,0.113934847,0.238485109,0.067123882,0.066769002,1.221956724
YBR067C,0.463188757,0.121501287,0.068907399,0.095755664,0.015615589
YBR068C,0.333904009,0.145767436,0.074865745,0.072315095,0.126269697
YBR069C,0.060741258,0.087282858,0.137677905,0.176107676,0.154283746
