,REF,WT_0.1h-1,WT_0.4h-1,WT_0.5h-1,WT_0.7h-1,galM,glk,pgm,pgi,pfkA,pfkB,fbp,fbaB,gapC,gpmA,gpmB,pykA,pykF,ppsA,zwf,pgl,gnd,rpe,rpiA,rpiB,tktA,tktB,talA,talB
b0903,0.1019492016,0.139105714,0.1414400997,0.2492679954,0.2496635411,0.0901515865,0.0839188843,0.121760291,0.1170857642,0.1048429562,0.0872578319,0.1061785353,0.1146372026,0.0921549551,0.0852544633,0.0968294818,0.1079593073,0.0970520783,0.0937131307,0.1199795189,0.0968294818,0.0932679377,0.1119660445,0.1010588155,0.0901515865,0.0968294818,0.0856996563,0.0832510947,0.0983876574
b1101,0.0647755844,0.0216746113,0.1112751495,0.2206253997,0.1838013799,0.0204343596,0.0638851984,0.0304957219,0.0122873274,0.0276019672,0.0353928451,0.0491938287,0.0373962137,0.0607688472,0.0580976891,0.0574298996,0.0456322845,0.0556491275,0.0429611264,0.0416255474,0.0161827663,0.0416255474,0.0060991444,0.0496390217,0.0463000741,0.0151365627,0.0431837229,0.0396221788,0.054981338
b1136,0.2315003704,0.1418785854,0.323435299,0.2988119448,0.506985473,0.1718445057,0.2248224751,0.1366742571,0.2381782657,0.111743448,0.1740704708,0.21302486,0.1469136966,0.2426301959,0.1958849288,0.1765190324,0.1849776998,0.1651666104,0.1738478743,0.1377872397,0.1905426125,0.1858680858,0.0943809202,0.178522401,0.1914329986,0.1161953782,0.1765190324,0.1535915919,0.1711767162
b1241,0.0514197938,0.0540709918,0.0553024086,0.1118609482,0.1802274642,0.0382865997,0.0264889847,0.0411803543,0.0532005659,0.0438515125,0.0324990905,0.0393995823,0.0500842147,0.032721687,0.0342798625,0.0376188102,0.0378414067,0.0333894765,0.0365058276,0.0534231624,0.0318313009,0.032721687,0.0830284982,0.0416255474,0.0311635114,0.0456322845,0.0349476521,0.033612073,0.043628916
b1276,0.0632174088,0.0526845561,0.053291412,0.0418027073,0.038394066,0.0416255474,0.045409688,0.0656659704,0.0338346695,0.0356154416,0.0592106717,0.0583202856,0.0523101798,0.0276019672,0.0625496193,0.0434063194,0.045409688,0.0371736172,0.0385091962,0.0422933369,0.0273793707,0.0525327764,0.0897063935,0.0304957219,0.0365058276,0.0489712322,0.0351702486,0.0349476521,0.0507520043
b1380,0.0110853062,0.0051067048,0.0079769535,0.0108764451,0.0129171525,0.0048526039,0.0056984707,0.0065443374,0.0049193829,0.0075460217,0.0057875093,0.0048526039,0.0068114532,0.0040957758,0.0047635653,0.0038509196,0.0045409688,0.0043851512,0.0043851512,0.0049193829,0.0063440005,0.0062772216,0.0085699656,0.0047635653,0.0053645759,0.00574299,0.0049639022,0.0048748636,0.0049193829
b1602,0.0291601428,0.0134715334,0.0418957641,0.0785736072,0.144488307,0.0166502189,0.0247082126,0.017095412,0.0220593141,0.0140013205,0.0195217139,0.0224822475,0.0195439736,0.0186313279,0.0202785421,0.0196330122,0.0199446473,0.0210353702,0.0156707943,0.0202117631,0.0158266119,0.0133557906,0.0100168429,0.0214583036,0.0192323385,0.0154259381,0.0171399313,0.0172957488,0.0204566193
b1603,0.0529779694,0.0335055291,0.1139564784,0.1861768723,0.3854723385,0.0487486357,0.044074109,0.034502459,0.0483034427,0.0296053358,0.0378414067,0.0458548811,0.0425159334,0.0514197938,0.0456322845,0.0498616182,0.0465226706,0.044964495,0.045409688,0.0514197938,0.0405125648,0.0476356531,0.0249308091,0.0405125648,0.0416255474,0.0300505288,0.043628916,0.0409577578,0.0425159334
b1611,0.0205011386,0.0225989017,0.0182665532,0.0095991402,0.0117428659,0.0148694469,0.019009742,0.0153591592,0.0108181904,0.0134893485,0.0160937277,0.0162050259,0.0140013205,0.0178967594,0.0168505558,0.0173847874,0.0165611803,0.0152923802,0.0165389207,0.0152256013,0.0190320016,0.0111966045,0.0186313279,0.0183864717,0.0176519032,0.0255985986,0.013711945,0.0157153136,0.0199891666
b1612,0.0848092703,0.0526845561,0.1059124917,0.0634781852,0.0750522301,0.0816929192,0.0690049181,0.0514197938,0.0313861079,0.0514197938,0.0601010577,0.0583202856,0.0498616182,0.0665563565,0.0649981809,0.0801347436,0.0643303914,0.0698953041,0.0770183924,0.0652207774,0.0736794448,0.0665563565,0.0641077949,0.0645529879,0.0727890588,0.0674467425,0.0763506029,0.0841414808,0.0852544633
