,REF,WT_0.1h-1,WT_0.4h-1,WT_0.5h-1,WT_0.7h-1,galM,glk,pgm,pgi,pfkA,pfkB,fbp,fbaB,gapC,gpmA,gpmB,pykA,pykF,ppsA,zwf,pgl,gnd,rpe,rpiA,rpiB,tktA,tktB,talA,talB
R_ALCD2x,-0.00293,-0.0,-0.0,-0.1326,-0.1334,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0726,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
R_EX_glc_e_,-2.93,-1.34,-5.05,-6.63,-13.34,-3.04,-3.14,-3.06,-2.73,-2.72,-2.84,-2.7,-2.76,-2.99,-2.7,-3.33,-2.82,-2.8,-3.0,-3.18,-3.36,-2.92,-3.63,-3.18,-4.15,-4.49,-2.97,-2.8,-2.94
R_EX_o2_e_,-5.79,-2.2,-9.57,-13.05,-14.87,-15.53,-5.44,-5.79,-4.45,-9.56,-5.83,-6.0,-8.08,-6.79,-6.71,-5.05,-7.17,-6.06,-9.95,-8.76,-11.87,-6.01,-8.04,-3.02,-15.52,-9.0,-12.21,-3.4,-10.99
R_EX_co2_e_,4.11,0.31,7.88,8.95,10.83,5.76,6.46,6.12,5.04,2.94,3.84,4.1,2.4,6.14,4.81,5.05,5.03,4.85,4.11,5.16,7.09,4.11,6.32,6.21,6.99,7.57,5.95,5.91,6.81
R_EX_etoh_e_,0.0,0.0,0.0,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.05,0.0,0.01,0.0,0.0,0.0,0.0
R_EX_ac_e_,0.0,0.0,0.01,0.49,1.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_EX_lac_D_e_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_EX_succ_e_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0
R_EX_pyr_e_,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_EX_for_e_,0.0,0.0,0.0,0.13,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
R_Ec_biomass_iAF1260_core_59p81M,0.2,0.1,0.4,0.5,0.7,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
