,REF,WT_0.1h-1,WT_0.4h-1,WT_0.5h-1,WT_0.7h-1,galM,glk,pgm,pgi,pfkA,pfkB,fbp,fbaB,gapC,gpmA,gpmB,pykA,pykF,ppsA,zwf,pgl,gnd,rpe,rpiA,rpiB,tktA,tktB,talA,talB
b1852,0.00511,0.00126,0.00187,0.00266,0.00388,0.00123,0.000464,0.00194,0.00148,0.00219,0.000802,0.000886,0.00129,0.000605,0.000747,0.00134,0.00229,0.00145,0.000515,0.000000672,0.000744,0.00171,0.00177,0.00137,0.00195,0.00096,0.000836,0.00109,0.000465
b1854,0.00408,0.00079,0.00369,0.00753,0.0035,0.00205,0.000795,0.00196,0.00123,0.00273,0.00154,0.000703,0.0016,0.00334,0.000287,0.00124,0.00000608,0.00149,0.00103,0.00341,0.00197,0.0029,0.000544,0.00253,0.00281,0.00182,0.00265,0.00143,0.00168
b2029,0.00943,0.00207,0.00536,0.0156,0.0102,0.00368,0.00164,0.00244,0.00483,0.00206,0.00269,0.00299,0.00312,0.00283,0.00229,0.00489,0.00626,0.00387,0.00397,0.00352,0.00108,0.0000052,0.00324,0.00462,0.00237,0.000564,0.00272,0.00206,0.00402
b2097,0.015,0.00411,0.00326,0.00369,0.00343,0.00362,0.000971,0.00981,0.00457,0.00546,0.00332,0.00185,0.00000099,0.00204,0.00263,0.00738,0.0108,0.00692,0.00179,0.00496,0.00265,0.00422,0.00841,0.00463,0.00421,0.00636,0.00443,0.00296,0.00357
b2133,0.00322,0.00137,0.0028,0.00136,0.00187,0.00147,0.0016,0.000911,0.00102,0.0011,0.00109,0.00105,0.00162,0.000758,0.00159,0.00163,0.0023,0.00162,0.00123,0.0014,0.000584,0.0013,0.00029,0.00122,0.00214,0.000659,0.000926,0.000989,0.000836
b2296,0.00297,0.00207,0.0027,0.00335,0.00829,0.00191,0.00131,0.0013,0.000622,0.00242,0.00182,0.0015,0.00348,0.000586,0.00134,0.00229,0.00283,0.0022,0.000911,0.00188,0.00228,0.00263,0.00144,0.00119,0.00358,0.00277,0.0017,0.00221,0.000896
b2297,0.00102,0.000396,0.00136,0.00126,0.00121,0.000812,0.000619,0.00152,0.000757,0.00118,0.000837,0.000598,0.000983,0.000676,0.000641,0.000585,0.000889,0.000523,0.000304,0.000381,0.000863,0.00042,0.00109,0.000881,0.000642,0.000648,0.000465,0.000539,0.000536
b2388,0.00201,0.000864,0.00069,0.00302,0.000962,0.000871,0.00000056,0.00109,0.000482,0.000917,0.000696,0.000677,0.000855,0.000565,0.000544,0.00107,0.00163,0.000757,0.00132,0.00111,0.000686,0.0012,0.00106,0.000878,0.000415,0.000925,0.000716,0.000497,0.000397
b2415,0.0213,0.00406,0.00763,0.0181,0.0308,0.00537,0.00453,0.00407,0.00856,0.00688,0.00246,0.00469,0.00824,0.00491,0.00494,0.00985,0.00852,0.00918,0.0019,0.00647,0.00557,0.00666,0.00716,0.0049,0.00204,0.00427,0.0123,0.0068,0.00237
b2416,0.0145,0.00379,0.0077,0.0155,0.0188,0.00367,0.0032,0.00338,0.0077,0.00753,0.00585,0.00352,0.00482,0.0042,0.00399,0.00415,0.00513,0.006,0.00188,0.00187,0.00802,0.0025,0.00373,0.00427,0.00194,0.00128,0.00779,0.00226,0.00371
b2417,0.00819,0.00233,0.00255,0.00646,0.00432,0.00173,0.002,0.00367,0.00241,0.0036,0.00357,0.00238,0.00354,0.00256,0.00261,0.00242,0.0032,0.00339,0.00132,0.00223,0.00228,0.00302,0.00208,0.00427,0.00115,0.00378,0.00367,0.00106,0.00233
b2463,0.00837,0.00497,0.0109,0.0033,0.00451,0.00806,0.00275,0.0133,0.00576,0.00427,0.00472,0.0079,0.00786,0.0078,0.00471,0.00853,0.00982,0.00822,0.00206,0.00393,0.00553,0.00835,0.00549,0.00654,0.00888,0.00358,0.00582,0.00206,0.00435
b2464,0.00579,0.00172,0.00233,0.00318,0.00209,0.00145,0.000582,0.00546,0.0021,0.00237,0.0021,0.0014,0.00202,0.000562,0.000469,0.00231,0.00372,0.00205,0.00165,0.00156,0.0013,0.00269,0.00194,0.00137,0.000795,0.00275,0.00151,0.00000457,0.00141
b2465,0.00379,0.00194,0.00147,0.00218,0.00266,0.000901,0.00105,0.0055,0.00187,0.00218,0.00124,0.00211,0.00244,0.000527,0.00218,0.00136,0.0023,0.00112,0.00157,0.000754,0.000652,0.00202,0.00327,0.00182,0.00114,0.00231,0.00000207,0.00358,0.00218
b2779,0.00507,0.00272,0.00452,0.0194,0.0167,0.00406,0.00371,0.00532,0.00373,0.00479,0.00381,0.00331,0.00497,0.00419,0.00364,0.00755,0.0105,0.0055,0.00526,0.00667,0.0028,0.00457,0.00754,0.0049,0.000771,0.00311,0.00239,0.00424,0.00359
b2914,0.00183,0.000919,0.000824,0.00194,0.00185,0.00055,0.000257,0.000933,0.000811,0.00135,0.000527,0.000654,0.00129,0.000428,0.000708,0.00104,0.00181,0.00132,0.000514,0.000912,0.0011,0.000557,0.00128,0.00000215,0.000766,0.000741,0.000861,0.00107,0.00102
